Cell,Q^2,SD_Q^2,x,SD_x,y,SD_y,Phi_s,SD_Phi_s,epsilon,SD_epsilon,Z(K+/-),SD_Z(K+/-),P_hperp,SD_P_hperp,Phi_h,SD_Phi_h,image
0,1.4428185638,0.444850940714,0.0407070099713,0.0153095685648,0.715704335463,0.146335063791,3.23209473193,1.87861961662,0.497007982956,0.211902281863,0.295155795743,0.0883006226248,0.777267831849,0.252625138783,3.18466420073,1.8943896551,k+thumbnail_x_z(k)0.png
1,1.4435662295,0.426726659289,0.0403303474683,0.0151346634997,0.72327192765,0.144920822528,3.06689103646,1.88757677176,0.485723492392,0.211785233736,0.299233935234,0.0886244336908,0.790805645985,0.241184026823,3.16869598499,1.84769881298,k+thumbnail_x_z(k)1.png
2,1.42554814435,0.407232088009,0.039915164134,0.013903846858,0.721278772139,0.146746956827,3.11868291222,1.85463985323,0.488167253676,0.21352546342,0.292195426165,0.0840765835464,0.773146209945,0.233889670376,3.1289393612,1.88126215124,k+thumbnail_x_z(k)2.png
3,1.43572134642,0.431910059643,0.040000520284,0.0147408445848,0.723360936407,0.141382431467,3.18001638254,1.90428273969,0.486888146345,0.207156817394,0.297817535667,0.097189620883,0.785805089645,0.264553461927,3.14400039626,1.85281865651,k+thumbnail_x_z(k)3.png
4,1.42607479768,0.434912575157,0.0398550479435,0.0154859332201,0.723256087018,0.140904005256,3.1984749774,1.89627648747,0.487262305372,0.206468588111,0.294662046797,0.0888324194445,0.774086915908,0.245041520956,3.16474099927,1.82914890277,k+thumbnail_x_z(k)4.png
5,1.4357700074,0.427631685228,0.040221992999,0.0149873877315,0.721043895946,0.144788773659,2.98595668758,1.92478884089,0.489275920621,0.211539246658,0.293230862789,0.0887801542495,0.778071691603,0.246698790695,3.18773655851,1.87326898264,k+thumbnail_x_z(k)5.png
6,1.43202403822,0.419855678941,0.0398681999838,0.0151029122379,0.725235886967,0.141562438954,3.16256652849,1.87785951703,0.483922677685,0.208348861919,0.296073487623,0.089581743903,0.786062363614,0.246877263706,3.15487424893,1.83601141333,k+thumbnail_x_z(k)6.png
7,1.44443800817,0.456361184266,0.040658656161,0.0162895355527,0.719184158013,0.143749069057,3.10702921625,1.93222564842,0.492560609113,0.209533044291,0.294290295465,0.0855174220515,0.773297638335,0.228724758629,3.06320698417,1.86623688378,k+thumbnail_x_z(k)7.png
8,1.43066738159,0.417959488839,0.0403517888423,0.0150585219553,0.719658455094,0.15026889549,3.01633297461,1.87397058009,0.489298055971,0.217315250769,0.293793057936,0.0920061863364,0.776959511099,0.248653257834,3.1997503481,1.8761833898,k+thumbnail_x_z(k)8.png
9,1.43487570831,0.411130358025,0.0406710456958,0.0150734961323,0.715829216768,0.147176369546,3.11353192345,1.89800938069,0.496401686919,0.211331898331,0.295582089113,0.0873726121215,0.776013196878,0.251465104543,3.18105730816,1.87822075206,k+thumbnail_x_z(k)9.png
