Cell,Q^2,SD_Q^2,x,SD_x,y,SD_y,Phi_s,SD_Phi_s,epsilon,SD_epsilon,Z(K+/-),SD_Z(K+/-),P_hperp,SD_P_hperp,Phi_h,SD_Phi_h,image
0,1.55475929894,0.56961435488,0.0472405079542,0.0227182050432,0.680438125648,0.159188367435,3.09357940485,1.85017248532,0.544598805795,0.218674311901,0.313071876543,0.102468714652,0.707268921727,0.236453214202,3.12254261705,1.837279336,k+thumbnail_p_hperp_epsilon0.png
1,1.55874410361,0.595503374626,0.0472899990026,0.0229159875402,0.681280422253,0.160265608215,3.0535305222,1.91162087354,0.542972083194,0.220962848161,0.311769586241,0.0990200273717,0.70751428836,0.242140878193,3.18395241025,1.82396251293,k+thumbnail_p_hperp_epsilon1.png
2,1.55716076439,0.589929196998,0.0476782872286,0.0242200488425,0.676811819823,0.158264480091,3.11362096323,1.90045086826,0.550212268575,0.215949799571,0.312745217374,0.103179291021,0.709846656788,0.239567892737,3.12041964182,1.8378849013,k+thumbnail_p_hperp_epsilon2.png
3,1.54278879494,0.560424838165,0.046780963559,0.0224131662621,0.681788660672,0.157743074788,3.11504962453,1.92600278362,0.543264823674,0.217657685452,0.319353753974,0.105797133465,0.713310371427,0.238076845776,3.15661539151,1.82643212162,k+thumbnail_p_hperp_epsilon3.png
4,1.57612566978,0.597310936951,0.0478814586854,0.0236633380829,0.680816530615,0.158823223573,3.16170821623,1.91664181735,0.544146277846,0.217806278105,0.316071849018,0.104740894976,0.717320676063,0.24742682544,3.15836886685,1.83838667587,k+thumbnail_p_hperp_epsilon4.png
5,1.54341431076,0.555928743304,0.0473613188865,0.0226717942083,0.677398108529,0.164804646739,3.08782408402,1.92217281966,0.546624812409,0.224530638937,0.316067644378,0.103496334197,0.710370667503,0.237555752141,3.19453641839,1.85079752862,k+thumbnail_p_hperp_epsilon5.png
6,1.54961441302,0.556905660105,0.0471850473075,0.0222398418369,0.679007528363,0.158416900478,3.1398926221,1.9093121755,0.54698497529,0.21732882191,0.316044575973,0.103134879565,0.707288406703,0.238627338754,3.23386863187,1.81042469825,k+thumbnail_p_hperp_epsilon6.png
7,1.57806445847,0.620414109869,0.0483153085541,0.0244261182329,0.677094032024,0.161060497943,3.10960266793,1.91381630156,0.548705608201,0.221631925456,0.314725071033,0.103984756222,0.70896526521,0.240364275553,3.16700334776,1.85537350017,k+thumbnail_p_hperp_epsilon7.png
8,1.57354840999,0.575316115439,0.048005615094,0.0231400886795,0.680249184964,0.162025953597,3.08534208899,1.87556823276,0.543659836582,0.222584468139,0.315499113625,0.101369512533,0.714471766743,0.242516713992,3.10678713458,1.85431782096,k+thumbnail_p_hperp_epsilon8.png
9,1.57423310315,0.636253225017,0.04868187146,0.0249186353348,0.671505312557,0.163199428985,3.12621296386,1.92175038185,0.555697466766,0.220244995791,0.316145900949,0.105390114395,0.702303503898,0.233744606793,3.1258509274,1.887575891,k+thumbnail_p_hperp_epsilon9.png
