Cell,Q^2,SD_Q^2,x,SD_x,y,SD_y,Phi_s,SD_Phi_s,epsilon,SD_epsilon,Z(K+/-),SD_Z(K+/-),P_hperp,SD_P_hperp,Phi_h,SD_Phi_h,image
0,2.89010541711,1.71079458029,0.117686788128,0.0676479019556,0.495882065068,0.142437110312,3.09704170765,1.91631262686,0.77342454129,0.148768138473,0.480823689948,0.183860106857,0.317235551197,0.1812868439,3.14963485546,1.62613767304,k+thumbnail_x_epsilon0.png
1,2.87119624841,1.70600827052,0.116941576824,0.0678517401115,0.496268924734,0.143140920524,3.15071382044,1.90731725336,0.772777768113,0.150548053059,0.477721469852,0.184437121511,0.315438576209,0.181619702366,3.14727414563,1.62375401052,k+thumbnail_x_epsilon1.png
2,2.90373072079,1.72098612948,0.117228159382,0.0672179622485,0.499593035849,0.144186033003,3.13206951819,1.92799085998,0.769160507801,0.152127358306,0.482430667342,0.184229868639,0.317503636685,0.182026408103,3.13214820974,1.61677690159,k+thumbnail_x_epsilon2.png
3,2.89768404931,1.72774651691,0.117680790335,0.0680393037802,0.497308742653,0.143490614167,3.11457894256,1.91214534249,0.771614238718,0.15048600203,0.480507091768,0.184605302708,0.316239385885,0.182334439238,3.15483458163,1.61021447038,k+thumbnail_x_epsilon3.png
4,2.88924020851,1.70118037471,0.117408590328,0.0670786400249,0.496349357875,0.143034091294,3.10763334996,1.91731337715,0.772737146783,0.150033770206,0.478780945887,0.186078405879,0.31177602699,0.181797021102,3.15434083888,1.62469390817,k+thumbnail_x_epsilon4.png
5,2.8701487186,1.70326478255,0.117032376355,0.0670460583291,0.494314978148,0.141941649382,3.09208988656,1.92904807653,0.775127034798,0.147650222758,0.479397866622,0.184088031193,0.31315073474,0.179825933664,3.11361082423,1.62198724628,k+thumbnail_x_epsilon5.png
6,2.89001175756,1.69077386217,0.117602533412,0.0669133658794,0.496321850679,0.143130149299,3.10870842209,1.91197103917,0.772725935334,0.150499980998,0.474117075692,0.183004353811,0.313966350535,0.182286944134,3.12482658762,1.62998287985,k+thumbnail_x_epsilon6.png
7,2.94118359234,1.76124909307,0.119421076957,0.0694967181921,0.497279895531,0.143661054938,3.10278155465,1.92410653774,0.771547566415,0.151511483021,0.477549881345,0.185479026085,0.315674549564,0.184070568567,3.16744799828,1.62415975747,k+thumbnail_x_epsilon7.png
8,2.90583394786,1.73601486997,0.117876344887,0.0687557123867,0.49817960518,0.14303107943,3.12020776467,1.92235134398,0.770963548444,0.150636555296,0.477549974307,0.184615132971,0.315047314872,0.1806731548,3.1117327623,1.61148024361,k+thumbnail_x_epsilon8.png
9,2.88618337223,1.68689964776,0.117856947456,0.0669989513201,0.495473028811,0.143402811288,3.07014678902,1.92428555094,0.773435912495,0.150719153656,0.479990776641,0.185533556659,0.315421136461,0.18300373814,3.15593171043,1.63130572934,k+thumbnail_x_epsilon9.png
