Cell,Q^2,SD_Q^2,x,SD_x,y,SD_y,Phi_s,SD_Phi_s,epsilon,SD_epsilon,Z(K+/-),SD_Z(K+/-),P_hperp,SD_P_hperp,Phi_h,SD_Phi_h,image
0,1.57265603766,0.596024021182,0.0471310613143,0.0222564114824,0.68566439665,0.154698685711,3.06313393506,1.87261106678,0.538882731339,0.217856596975,0.297270244685,0.0866993481565,0.67218679701,0.208947091554,3.02703433706,1.88441261427,k-thumbnail_x_p_hperp0.png
1,1.5570931587,0.572430730083,0.0463259008175,0.0221361855386,0.691617366056,0.153591489455,3.1976312634,1.95633129545,0.530461833294,0.214758373647,0.299375173833,0.0899418319865,0.685576380364,0.226914984554,3.00515448215,1.89327193007,k-thumbnail_x_p_hperp1.png
2,1.58168146012,0.603564671632,0.0469576132694,0.0226186289021,0.692508079544,0.154544468074,3.19090934362,1.94700818534,0.528806946786,0.217087056119,0.29821117691,0.0947010093604,0.682090649683,0.225448664051,3.12975270713,1.94702024557,k-thumbnail_x_p_hperp2.png
3,1.57559693925,0.590621892194,0.047263665243,0.0228259273157,0.687188911933,0.154887946702,3.03048214525,1.88204497487,0.536459107588,0.215895013764,0.295457503072,0.0887557573255,0.673657184711,0.215839516022,3.19960618163,1.88756745525,k-thumbnail_x_p_hperp3.png
4,1.59413216336,0.661227131107,0.047824832009,0.0256735055805,0.690226847447,0.154533736412,3.18692212127,1.89134732043,0.532121824921,0.215094434191,0.296463249849,0.0910833415511,0.681777184168,0.225885290309,3.17842644954,1.93162719611,k-thumbnail_x_p_hperp4.png
5,1.55067826532,0.559223787228,0.0468190650109,0.022117966172,0.682834024217,0.155659746596,3.10338594702,1.92445849954,0.542554669335,0.215290060641,0.290571440947,0.0828276843843,0.658777181568,0.209742374418,3.11536417092,1.94035684974,k-thumbnail_x_p_hperp5.png
6,1.57426105992,0.587665984952,0.0462480623282,0.0209632227922,0.692730550126,0.145977971091,3.22378509618,1.9353050742,0.531786539286,0.206581063112,0.293053132027,0.0925274827325,0.673433760829,0.22818358636,3.1559446577,1.88562008712,k-thumbnail_x_p_hperp6.png
7,1.55436141178,0.542557774825,0.0466578840557,0.0218643015875,0.687136403384,0.155385221088,3.12377917464,1.90494297439,0.536406293478,0.217907450088,0.294110391332,0.0944638209871,0.669174018505,0.229026326939,3.17184588318,1.93091774723,k-thumbnail_x_p_hperp7.png
8,1.57166291189,0.585381188474,0.0468101910664,0.0213603837794,0.689250838221,0.155467517236,3.10791436149,1.88436438317,0.533137301018,0.216108116539,0.294748020729,0.0886819737692,0.676740908191,0.222630661919,3.07181562336,1.94705388389,k-thumbnail_x_p_hperp8.png
9,1.57548302545,0.598056060184,0.0474968456511,0.0232346712622,0.687017592697,0.158658597342,3.04300890947,1.935983129,0.53519951385,0.221294737646,0.295224287675,0.0878673379933,0.673906319263,0.215107621524,3.1905260607,1.95195879674,k-thumbnail_x_p_hperp9.png
