Cell,Q^2,SD_Q^2,x,SD_x,y,SD_y,Phi_s,SD_Phi_s,epsilon,SD_epsilon,Z(K+/-),SD_Z(K+/-),P_hperp,SD_P_hperp,Phi_h,SD_Phi_h,image
0,2.78931351232,1.67335178892,0.109424713003,0.0661330432286,0.518661103319,0.147198332781,3.09153599109,1.94496544819,0.749024949767,0.160824332217,0.409774480876,0.152564679334,0.280323326487,0.158212001029,3.12607712971,1.58024626506,k-thumbnail_z(k)_epsilon0.png
1,2.76098025638,1.60387709529,0.108327152985,0.0644651220264,0.518824252398,0.145321655539,3.12493911757,1.92650920867,0.749631237516,0.158896454251,0.406457862063,0.151309299315,0.274905780558,0.158483525234,3.1375663811,1.58991360003,k-thumbnail_z(k)_epsilon1.png
2,2.78352793381,1.6643771863,0.10950075904,0.065004977533,0.514712011236,0.142741352749,3.19768360145,1.90529788679,0.754811448684,0.154051547656,0.406964967746,0.149960275109,0.273433356836,0.154740452265,3.16311426712,1.61353890558,k-thumbnail_z(k)_epsilon2.png
3,2.79519824546,1.67076445017,0.109898943614,0.06595426778,0.517243940206,0.144661631061,3.15093783883,1.96233831517,0.751443056768,0.158967319448,0.406592695229,0.150802354552,0.274367441385,0.15456286428,3.12083638789,1.59511643454,k-thumbnail_z(k)_epsilon3.png
4,2.75086183176,1.63471850784,0.108176061883,0.0653607532081,0.516830103074,0.144362876727,3.1422318976,1.90173832553,0.752057342299,0.156110011162,0.407774289395,0.148871113803,0.274954156604,0.161031731488,3.14921527474,1.60130271929,k-thumbnail_z(k)_epsilon4.png
5,2.75160923229,1.62729282912,0.108281115901,0.0648200322686,0.51801880586,0.146927541843,3.12051257738,1.91513847024,0.749850391743,0.159352347169,0.408342694859,0.150820440169,0.279242770588,0.15873562548,3.08409174719,1.5747648909,k-thumbnail_z(k)_epsilon5.png
6,2.73702554493,1.61463868578,0.107174239725,0.0648986372752,0.519458411597,0.146254507992,3.0782824915,1.94736346019,0.748614969929,0.159880919369,0.413298520813,0.152507190373,0.277502824812,0.156668239451,3.15014462892,1.56868622548,k-thumbnail_z(k)_epsilon6.png
7,2.70692199403,1.61009484432,0.106718728852,0.0637766202175,0.51465703977,0.144790034787,3.12915854101,1.89577291708,0.754113643078,0.156665462145,0.406543805252,0.149212056895,0.27356296559,0.154992211413,3.12618815389,1.57723759204,k-thumbnail_z(k)_epsilon7.png
8,2.77750443872,1.6175322487,0.109121563209,0.0642457344583,0.51750662321,0.144906638321,3.11224800607,1.92098867307,0.75112577874,0.158923647901,0.40630845885,0.147957561413,0.276545315875,0.156291949213,3.11374235997,1.58606616342,k-thumbnail_z(k)_epsilon8.png
9,2.77804080809,1.66075551228,0.108559078064,0.0657598641712,0.519957162804,0.143699225053,3.07943047112,1.92040778968,0.749087815688,0.155706885432,0.412861527775,0.152485744653,0.281055488982,0.162052894557,3.15971354677,1.57352999312,k-thumbnail_z(k)_epsilon9.png
