Cell,Q^2,SD_Q^2,x,SD_x,y,SD_y,Phi_s,SD_Phi_s,epsilon,SD_epsilon,Z(Pi+/-),SD_Z(Pi+/-),P_hperp,SD_P_hperp,Phi_h,SD_Phi_h,image
0,1.54095047032,0.566336139291,0.047715948321,0.0229611192378,0.669557539529,0.161900265114,3.12804797808,1.93102571332,0.559180817594,0.221595885022,0.285898443421,0.0874834453969,0.637882158972,0.206133819626,3.13941606672,1.92481939622,pi+thumbnail_x_z(pi)0.png
1,1.55071308327,0.569328019139,0.0477583483596,0.0222539490558,0.671265106184,0.161417557862,3.07902652946,1.92138361745,0.556941320022,0.220637523511,0.284108875516,0.0857926298174,0.6363321385,0.202497264802,3.13107530007,1.91332738405,pi+thumbnail_x_z(pi)1.png
2,1.54474699482,0.561311250834,0.0476520535077,0.0225916594784,0.671433789581,0.161266759069,3.12704953068,1.91902797041,0.556773095391,0.221055888376,0.284899825885,0.0869705828102,0.636804347456,0.20616509476,3.13372040265,1.91228936791,pi+thumbnail_x_z(pi)2.png
3,1.55269530949,0.572621075547,0.0480063826004,0.0226693937702,0.669982689142,0.1620117801,3.10490843582,1.92680603544,0.55849533585,0.22132453681,0.283026818151,0.0853616909619,0.635751266576,0.203242724286,3.17299911718,1.91270378539,pi+thumbnail_x_z(pi)3.png
4,1.55532837821,0.5804331325,0.0479346376574,0.0228025859406,0.671642264084,0.162082250212,3.12402189087,1.92009167399,0.556094723421,0.221574712152,0.28477258354,0.0870817564072,0.63682298171,0.208134965196,3.13443585288,1.91463810563,pi+thumbnail_x_z(pi)4.png
5,1.55235054105,0.576798460928,0.0476577471567,0.0225040128473,0.672816102753,0.160281072336,3.1033926893,1.92253089516,0.555202842148,0.220311935773,0.28557771713,0.0883086546298,0.640228842278,0.2080069141,3.1681579085,1.90580196478,pi+thumbnail_x_z(pi)5.png
6,1.5402282061,0.559268022637,0.0474968549517,0.0225095239186,0.672449469784,0.162039429707,3.12746623223,1.92593634613,0.554974293259,0.22151258545,0.284176538796,0.0868355935729,0.63498850949,0.20475538808,3.15334669405,1.91560979943,pi+thumbnail_x_z(pi)6.png
7,1.55673285031,0.579477110092,0.0476754888852,0.0225510697859,0.673980471824,0.159814771575,3.11378215659,1.91236898302,0.553725772556,0.220113224696,0.285286607108,0.0876404509575,0.639565216338,0.205173193203,3.13666150912,1.903960942,pi+thumbnail_x_z(pi)7.png
8,1.54881453029,0.571007576926,0.0476191243783,0.0224968502788,0.673041216378,0.16123315565,3.0990256624,1.91519332151,0.554488472797,0.221250325089,0.282878542442,0.0864720884124,0.632726945322,0.20695404831,3.1396256444,1.91461645365,pi+thumbnail_x_z(pi)8.png
9,1.56397171069,0.587015431032,0.0483489800693,0.0234882306708,0.670509371649,0.160947519559,3.10408406149,1.92135753744,0.558194873277,0.220053904372,0.284672018554,0.08735874924,0.637384737846,0.204608504205,3.11255644155,1.92136388564,pi+thumbnail_x_z(pi)9.png
