Cell,Q^2,SD_Q^2,x,SD_x,y,SD_y,Phi_s,SD_Phi_s,epsilon,SD_epsilon,Z(Pi+/-),SD_Z(Pi+/-),P_hperp,SD_P_hperp,Phi_h,SD_Phi_h,image
0,2.78688045928,1.66529738866,0.116476486722,0.0668939575219,0.483751355646,0.144930005353,3.07964464586,1.93204058697,0.784016771267,0.149453250385,0.444073592757,0.194593735712,0.284549147981,0.164128912203,3.13938490035,1.67156832489,pi+thumbnail_p_hperp_epsilon0.png
1,2.77440200939,1.65203881802,0.116333636465,0.0670692348389,0.483240667554,0.14495241634,3.11624935923,1.93601691494,0.784485353202,0.149266444248,0.446134764854,0.19559894134,0.28557992519,0.164575772,3.15327265569,1.67563709313,pi+thumbnail_p_hperp_epsilon1.png
2,2.77915077138,1.66741926977,0.116813029047,0.0678350928064,0.482149044543,0.144220600936,3.1037607826,1.93907500946,0.785779008093,0.148291010886,0.444814755621,0.194200342168,0.285102776161,0.164348458947,3.13241237676,1.67734450515,pi+thumbnail_p_hperp_epsilon2.png
3,2.78520776183,1.66664060597,0.116578571324,0.067456694792,0.483779181381,0.144745423943,3.10957321665,1.93806098472,0.784055597627,0.149389533161,0.445982828961,0.195267363159,0.286784064621,0.164600503687,3.12907718034,1.6725466144,pi+thumbnail_p_hperp_epsilon3.png
4,2.78477278962,1.66894447752,0.116928301069,0.0676265595509,0.482565700324,0.145290799936,3.09097978242,1.92677422239,0.784974193298,0.149804304389,0.445661795464,0.195104758306,0.284961811057,0.164254627023,3.14463563126,1.68129248316,pi+thumbnail_p_hperp_epsilon4.png
5,2.78397885317,1.66377683036,0.116607948993,0.0674447083641,0.483819978767,0.145293775365,3.10259086879,1.94134097506,0.783806717632,0.150030867484,0.445772749349,0.194994590337,0.286560254538,0.165057406067,3.14320510185,1.67271526691,pi+thumbnail_p_hperp_epsilon5.png
6,2.78325911544,1.6632264848,0.116412735687,0.0672218367053,0.484167378199,0.144917370888,3.08161805572,1.94116163884,0.783631640685,0.149500719948,0.444495385652,0.194398896288,0.285261261012,0.164192425154,3.14008616163,1.66973461568,pi+thumbnail_p_hperp_epsilon6.png
7,2.77865698718,1.66162075551,0.116423513385,0.0673162693156,0.483703946039,0.144898694989,3.11148131967,1.93655806391,0.784073434309,0.149538649365,0.445594631455,0.194401602354,0.286028282051,0.164357755906,3.15311308976,1.67607550754,pi+thumbnail_p_hperp_epsilon7.png
8,2.77355714813,1.64746870239,0.116395719799,0.0670083433667,0.482683283945,0.144624364718,3.1035194005,1.9416770802,0.785130519051,0.149108525178,0.445677792994,0.195805257517,0.285935618833,0.165086427514,3.13571123537,1.67798849123,pi+thumbnail_p_hperp_epsilon8.png
9,2.77605895238,1.66701350471,0.116215765663,0.0672721361436,0.483746972002,0.144750198367,3.09326740734,1.9351512152,0.784100655281,0.149318657332,0.446404299322,0.1952749354,0.285602910613,0.164599980133,3.15498669615,1.6754383081,pi+thumbnail_p_hperp_epsilon9.png
