Cell,Q^2,SD_Q^2,x,SD_x,y,SD_y,Phi_s,SD_Phi_s,epsilon,SD_epsilon,Z(Pi+/-),SD_Z(Pi+/-),P_hperp,SD_P_hperp,Phi_h,SD_Phi_h,image
0,2.66795474712,1.59290291707,0.111310880465,0.0649587609687,0.486805204211,0.1452877394,3.14209683204,1.93924329853,0.781121336052,0.150861313543,0.432161922823,0.188679712973,0.272571279008,0.154780895585,3.13802500582,1.66064930365,pi-thumbnail_y_p_hperp0.png
1,2.67722976577,1.61279582505,0.111991166931,0.0657818327321,0.485946587613,0.145452274801,3.13498607192,1.94276697773,0.78185473693,0.151048401244,0.43308144084,0.188799215428,0.272535281843,0.154246652618,3.14519745312,1.67860659258,pi-thumbnail_y_p_hperp1.png
2,2.66672656657,1.61197278968,0.111295221825,0.0657449989716,0.486969607383,0.146385681392,3.11307361983,1.94285335612,0.780535547829,0.152456897232,0.434145080466,0.188775046624,0.275513754282,0.155200836378,3.12186187837,1.66952861827,pi-thumbnail_y_p_hperp2.png
3,2.68793788154,1.61533597178,0.112382984217,0.0659810452873,0.485883149823,0.145564951789,3.13727556453,1.9451140853,0.781858981516,0.151150686391,0.432245492748,0.188955674573,0.273553262308,0.155216334673,3.14840372232,1.67795739632,pi-thumbnail_y_p_hperp3.png
4,2.67711638234,1.61221509786,0.111968447843,0.0655146664422,0.485573209422,0.14581592697,3.12438096022,1.94320501564,0.782065647954,0.1513516786,0.434521385788,0.189439988406,0.274925151085,0.155875692951,3.14182917822,1.67584376857,pi-thumbnail_y_p_hperp4.png
5,2.67940459529,1.61786236347,0.111741870814,0.0654427622558,0.48726769356,0.146896101639,3.13902010415,1.94582451832,0.780063280618,0.152971647091,0.430834841725,0.187206238692,0.272282314603,0.153990300123,3.15078245944,1.6760784434,pi-thumbnail_y_p_hperp5.png
6,2.68573854788,1.60530489001,0.112027131904,0.065695685869,0.487365723024,0.145626289394,3.12836661433,1.9452866889,0.780452985148,0.151334013986,0.43252935071,0.189321193476,0.272874423245,0.153850864743,3.1271205832,1.67777139007,pi-thumbnail_y_p_hperp6.png
7,2.67108798965,1.6043723816,0.111760366225,0.065703887708,0.486268325065,0.146072158399,3.10804168209,1.94614874406,0.781328535142,0.151373960846,0.433178362084,0.189316529709,0.273089907688,0.154304573494,3.12947014186,1.68194775161,pi-thumbnail_y_p_hperp7.png
8,2.67967679272,1.61008508041,0.11181355785,0.065395825941,0.486497083503,0.145623964384,3.13812587122,1.95048157389,0.781266981882,0.151506853685,0.432179811627,0.189121469757,0.272585677617,0.154641823666,3.14969995235,1.66990394518,pi-thumbnail_y_p_hperp8.png
9,2.68512167735,1.61699642505,0.112177411551,0.0662650137455,0.486775833973,0.145863323853,3.1162163581,1.94924259968,0.780907627691,0.15193728511,0.432626164854,0.189294201521,0.272824790704,0.153752935355,3.13299750912,1.67539515178,pi-thumbnail_y_p_hperp9.png
