Cell,Q^2,SD_Q^2,x,SD_x,y,SD_y,Phi_s,SD_Phi_s,epsilon,SD_epsilon,Z(Pi+/-),SD_Z(Pi+/-),P_hperp,SD_P_hperp,Phi_h,SD_Phi_h,image
0,1.55290841359,0.596903697033,0.0475910114113,0.0229362606481,0.674964549143,0.161430486758,3.12216793027,1.91083717865,0.551607418303,0.221506869344,0.28218484968,0.0849844244277,0.63656541983,0.205694906859,3.12224615195,1.95026395754,pi-thumbnail_y_z(pi)0.png
1,1.55096204696,0.577702682657,0.0477073804878,0.0228593988603,0.67355026853,0.161977769345,3.11847831902,1.91231854309,0.553438297439,0.222206345637,0.27986277295,0.0818015599473,0.629988184953,0.196941846187,3.13685401988,1.96117316486,pi-thumbnail_y_z(pi)1.png
2,1.55134163035,0.577860146426,0.0478807346388,0.0232665505681,0.672247113148,0.161296947809,3.10283089186,1.91585624845,0.555594209723,0.221112148552,0.280702567786,0.0833853139927,0.631789737577,0.202494509551,3.13611858395,1.96702184939,pi-thumbnail_y_z(pi)2.png
3,1.55083410174,0.575061063696,0.0477758182097,0.0233059969435,0.673756613893,0.162179203624,3.10805357109,1.91998046866,0.553058162273,0.222235294301,0.280192592209,0.0814965045045,0.631213473856,0.201215143987,3.13301002844,1.95550918905,pi-thumbnail_y_z(pi)3.png
4,1.54428734443,0.568416060876,0.0476035517832,0.0227680247601,0.672305553493,0.161543633351,3.14782487823,1.93300731444,0.555384873502,0.2213556368,0.28007291849,0.0809470729895,0.629868264581,0.200636278318,3.11158500213,1.9531956448,pi-thumbnail_y_z(pi)4.png
5,1.55336178411,0.577567316309,0.0478549737319,0.0230306709682,0.672843717653,0.16195537113,3.10585313203,1.93381583187,0.554440725461,0.22200647025,0.280753634299,0.0827986146226,0.631605532746,0.203016879348,3.12280647065,1.94462442561,pi-thumbnail_y_z(pi)5.png
6,1.55700322291,0.589850614093,0.0479714264026,0.0233129685055,0.673521930024,0.162853432246,3.12859739579,1.91165539049,0.553099079964,0.223553799148,0.281423331695,0.0824236684917,0.635991303848,0.203731678568,3.16629165874,1.96856448996,pi-thumbnail_y_z(pi)6.png
7,1.54990830975,0.577066829381,0.0476312538394,0.0230396042967,0.674701034249,0.162037982524,3.09530717223,1.92516410892,0.551749283243,0.22262034771,0.280020971656,0.0818099899964,0.629790982274,0.196688591793,3.12334589527,1.95765338394,pi-thumbnail_y_z(pi)7.png
8,1.54801798383,0.574443339064,0.0477824701659,0.0231387086589,0.672439181343,0.162086440318,3.11002798359,1.91723070097,0.554984034638,0.222064096828,0.280442471363,0.0824841180926,0.633628594995,0.201150235973,3.1130128049,1.95541246642,pi-thumbnail_y_z(pi)8.png
9,1.55200306464,0.559834686114,0.0474648440074,0.0225943314402,0.678496717057,0.163142547492,3.09512688614,1.92027983606,0.545754842348,0.223796552731,0.28056303777,0.0821820396062,0.635307725007,0.200409690894,3.16315672745,1.96329010914,pi-thumbnail_y_z(pi)9.png
